total_bill,tip,sex,smoker,day,time,size,billdate,ID
16.99,1.01,Female,No,Sun,Dinner,2,1/1/2022,1
10.34,1.66,Male,No,Sun,Dinner,3,1/2/2022,2
21.01,3.5,Male,No,Sun,Dinner,3,1/3/2022,3
23.68,3.31,Male,No,Sun,Dinner,2,1/4/2022,4
24.59,3.61,Female,No,Sun,Dinner,4,1/5/2022,5
25.29,4.71,Male,No,Sun,Dinner,4,1/6/2022,6
8.77,2,Male,No,Sun,Dinner,2,1/7/2022,7
26.88,3.12,Male,No,Sun,Dinner,4,1/8/2022,8
15.04,1.96,Male,No,Sun,Dinner,2,1/9/2022,9
14.78,3.23,Male,No,Sun,Dinner,2,1/10/2022,10
10.27,1.71,Male,No,Sun,Dinner,2,1/11/2022,11
35.26,5,Female,No,Sun,Dinner,4,1/12/2022,12
15.42,1.57,Male,No,Sun,Dinner,2,1/13/2022,13
18.43,3,Male,No,Sun,Dinner,4,1/14/2022,14
14.83,3.02,Female,No,Sun,Dinner,2,1/15/2022,15
21.58,3.92,Male,No,Sun,Dinner,2,1/16/2022,16
10.33,1.67,Female,No,Sun,Dinner,3,1/17/2022,17
16.29,3.71,Male,No,Sun,Dinner,3,1/18/2022,18
16.97,3.5,Female,No,Sun,Dinner,3,1/19/2022,19
20.65,3.35,Male,No,Sat,Dinner,3,1/20/2022,20
17.92,4.08,Male,No,Sat,Dinner,2,1/21/2022,21
20.29,2.75,Female,No,Sat,Dinner,2,1/22/2022,22
15.77,2.23,Female,No,Sat,Dinner,2,1/23/2022,23
39.42,7.58,Male,No,Sat,Dinner,4,1/24/2022,24
19.82,3.18,Male,No,Sat,Dinner,2,1/25/2022,25
17.81,2.34,Male,No,Sat,Dinner,4,1/26/2022,26
13.37,2,Male,No,Sat,Dinner,2,1/27/2022,27
12.69,2,Male,No,Sat,Dinner,2,1/28/2022,28
21.7,4.3,Male,No,Sat,Dinner,2,1/29/2022,29
19.65,3,Female,No,Sat,Dinner,2,1/30/2022,30
9.55,1.45,Male,No,Sat,Dinner,2,1/31/2022,31
18.35,2.5,Male,No,Sat,Dinner,4,2/1/2022,32
15.06,3,Female,No,Sat,Dinner,2,2/2/2022,33
20.69,2.45,Female,No,Sat,Dinner,4,2/3/2022,34
17.78,3.27,Male,No,Sat,Dinner,2,2/4/2022,35
24.06,3.6,Male,No,Sat,Dinner,3,2/5/2022,36
16.31,2,Male,No,Sat,Dinner,3,2/6/2022,37
16.93,3.07,Female,No,Sat,Dinner,3,2/7/2022,38
18.69,2.31,Male,No,Sat,Dinner,3,2/8/2022,39
31.27,5,Male,No,Sat,Dinner,3,2/9/2022,40
16.04,2.24,Male,No,Sat,Dinner,3,2/10/2022,41
17.46,2.54,Male,No,Sun,Dinner,2,2/11/2022,42
13.94,3.06,Male,No,Sun,Dinner,2,2/12/2022,43
9.68,1.32,Male,No,Sun,Dinner,2,2/13/2022,44
30.4,5.6,Male,No,Sun,Dinner,4,2/14/2022,45
18.29,3,Male,No,Sun,Dinner,2,2/15/2022,46
22.23,5,Male,No,Sun,Dinner,2,2/16/2022,47
32.4,6,Male,No,Sun,Dinner,4,2/17/2022,48
28.55,2.05,Male,No,Sun,Dinner,3,2/18/2022,49
18.04,3,Male,No,Sun,Dinner,2,2/19/2022,50
12.54,2.5,Male,No,Sun,Dinner,2,2/20/2022,51
10.29,2.6,Female,No,Sun,Dinner,2,2/21/2022,52
34.81,5.2,Female,No,Sun,Dinner,4,2/22/2022,53
9.94,1.56,Male,No,Sun,Dinner,2,2/23/2022,54
25.56,4.34,Male,No,Sun,Dinner,4,2/24/2022,55
19.49,3.51,Male,No,Sun,Dinner,2,2/25/2022,56
38.01,3,Male,Yes,Sat,Dinner,4,2/26/2022,57
26.41,1.5,Female,No,Sat,Dinner,2,2/27/2022,58
11.24,1.76,Male,Yes,Sat,Dinner,2,2/28/2022,59
48.27,6.73,Male,No,Sat,Dinner,4,3/1/2022,60
20.29,3.21,Male,Yes,Sat,Dinner,2,3/2/2022,61
13.81,2,Male,Yes,Sat,Dinner,2,3/3/2022,62
11.02,1.98,Male,Yes,Sat,Dinner,2,3/4/2022,63
18.29,3.76,Male,Yes,Sat,Dinner,4,3/5/2022,64
17.59,2.64,Male,No,Sat,Dinner,3,3/6/2022,65
20.08,3.15,Male,No,Sat,Dinner,3,3/7/2022,66
16.45,2.47,Female,No,Sat,Dinner,2,3/8/2022,67
3.07,1,Female,Yes,Sat,Dinner,1,3/9/2022,68
20.23,2.01,Male,No,Sat,Dinner,2,3/10/2022,69
15.01,2.09,Male,Yes,Sat,Dinner,2,3/11/2022,70
12.02,1.97,Male,No,Sat,Dinner,2,3/12/2022,71
17.07,3,Female,No,Sat,Dinner,3,3/13/2022,72
26.86,3.14,Female,Yes,Sat,Dinner,2,3/14/2022,73
25.28,5,Female,Yes,Sat,Dinner,2,3/15/2022,74
14.73,2.2,Female,No,Sat,Dinner,2,3/16/2022,75
10.51,1.25,Male,No,Sat,Dinner,2,3/17/2022,76
17.92,3.08,Male,Yes,Sat,Dinner,2,3/18/2022,77
27.2,4,Male,No,Thur,Lunch,4,3/19/2022,78
22.76,3,Male,No,Thur,Lunch,2,3/20/2022,79
17.29,2.71,Male,No,Thur,Lunch,2,3/21/2022,80
19.44,3,Male,Yes,Thur,Lunch,2,3/22/2022,81
16.66,3.4,Male,No,Thur,Lunch,2,3/23/2022,82
10.07,1.83,Female,No,Thur,Lunch,1,3/24/2022,83
32.68,5,Male,Yes,Thur,Lunch,2,3/25/2022,84
15.98,2.03,Male,No,Thur,Lunch,2,3/26/2022,85
34.83,5.17,Female,No,Thur,Lunch,4,3/27/2022,86
13.03,2,Male,No,Thur,Lunch,2,3/28/2022,87
18.28,4,Male,No,Thur,Lunch,2,3/29/2022,88
24.71,5.85,Male,No,Thur,Lunch,2,3/30/2022,89
21.16,3,Male,No,Thur,Lunch,2,3/31/2022,90
28.97,3,Male,Yes,Fri,Dinner,2,4/1/2022,91
22.49,3.5,Male,No,Fri,Dinner,2,4/2/2022,92
5.75,1,Female,Yes,Fri,Dinner,2,4/3/2022,93
16.32,4.3,Female,Yes,Fri,Dinner,2,4/4/2022,94
22.75,3.25,Female,No,Fri,Dinner,2,4/5/2022,95
40.17,4.73,Male,Yes,Fri,Dinner,4,4/6/2022,96
27.28,4,Male,Yes,Fri,Dinner,2,4/7/2022,97
12.03,1.5,Male,Yes,Fri,Dinner,2,4/8/2022,98
21.01,3,Male,Yes,Fri,Dinner,2,4/9/2022,99
12.46,1.5,Male,No,Fri,Dinner,2,4/10/2022,100
11.35,2.5,Female,Yes,Fri,Dinner,2,4/11/2022,101
15.38,3,Female,Yes,Fri,Dinner,2,4/12/2022,102
44.3,2.5,Female,Yes,Sat,Dinner,3,4/13/2022,103
22.42,3.48,Female,Yes,Sat,Dinner,2,4/14/2022,104
20.92,4.08,Female,No,Sat,Dinner,2,4/15/2022,105
15.36,1.64,Male,Yes,Sat,Dinner,2,4/16/2022,106
20.49,4.06,Male,Yes,Sat,Dinner,2,4/17/2022,107
25.21,4.29,Male,Yes,Sat,Dinner,2,4/18/2022,108
18.24,3.76,Male,No,Sat,Dinner,2,4/19/2022,109
14.31,4,Female,Yes,Sat,Dinner,2,4/20/2022,110
14,3,Male,No,Sat,Dinner,2,4/21/2022,111
7.25,1,Female,No,Sat,Dinner,1,4/22/2022,112
38.07,4,Male,No,Sun,Dinner,3,4/23/2022,113
23.95,2.55,Male,No,Sun,Dinner,2,4/24/2022,114
25.71,4,Female,No,Sun,Dinner,3,4/25/2022,115
17.31,3.5,Female,No,Sun,Dinner,2,4/26/2022,116
29.93,5.07,Male,No,Sun,Dinner,4,4/27/2022,117
10.65,1.5,Female,No,Thur,Lunch,2,4/28/2022,118
12.43,1.8,Female,No,Thur,Lunch,2,4/29/2022,119
24.08,2.92,Female,No,Thur,Lunch,4,4/30/2022,120
11.69,2.31,Male,No,Thur,Lunch,2,5/1/2022,121
13.42,1.68,Female,No,Thur,Lunch,2,5/2/2022,122
14.26,2.5,Male,No,Thur,Lunch,2,5/3/2022,123
15.95,2,Male,No,Thur,Lunch,2,5/4/2022,124
12.48,2.52,Female,No,Thur,Lunch,2,5/5/2022,125
29.8,4.2,Female,No,Thur,Lunch,6,5/6/2022,126
8.52,1.48,Male,No,Thur,Lunch,2,5/7/2022,127
14.52,2,Female,No,Thur,Lunch,2,5/8/2022,128
11.38,2,Female,No,Thur,Lunch,2,5/9/2022,129
22.82,2.18,Male,No,Thur,Lunch,3,5/10/2022,130
19.08,1.5,Male,No,Thur,Lunch,2,5/11/2022,131
20.27,2.83,Female,No,Thur,Lunch,2,5/12/2022,132
11.17,1.5,Female,No,Thur,Lunch,2,5/13/2022,133
12.26,2,Female,No,Thur,Lunch,2,5/14/2022,134
18.26,3.25,Female,No,Thur,Lunch,2,5/15/2022,135
8.51,1.25,Female,No,Thur,Lunch,2,5/16/2022,136
10.33,2,Female,No,Thur,Lunch,2,5/17/2022,137
14.15,2,Female,No,Thur,Lunch,2,5/18/2022,138
16,2,Male,Yes,Thur,Lunch,2,5/19/2022,139
13.16,2.75,Female,No,Thur,Lunch,2,5/20/2022,140
17.47,3.5,Female,No,Thur,Lunch,2,5/21/2022,141
34.3,6.7,Male,No,Thur,Lunch,6,5/22/2022,142
41.19,5,Male,No,Thur,Lunch,5,5/23/2022,143
27.05,5,Female,No,Thur,Lunch,6,5/24/2022,144
16.43,2.3,Female,No,Thur,Lunch,2,5/25/2022,145
8.35,1.5,Female,No,Thur,Lunch,2,5/26/2022,146
18.64,1.36,Female,No,Thur,Lunch,3,5/27/2022,147
11.87,1.63,Female,No,Thur,Lunch,2,5/28/2022,148
9.78,1.73,Male,No,Thur,Lunch,2,5/29/2022,149
7.51,2,Male,No,Thur,Lunch,2,5/30/2022,150
14.07,2.5,Male,No,Sun,Dinner,2,5/31/2022,151
13.13,2,Male,No,Sun,Dinner,2,6/1/2022,152
17.26,2.74,Male,No,Sun,Dinner,3,6/2/2022,153
24.55,2,Male,No,Sun,Dinner,4,6/3/2022,154
19.77,2,Male,No,Sun,Dinner,4,6/4/2022,155
29.85,5.14,Female,No,Sun,Dinner,5,6/5/2022,156
48.17,5,Male,No,Sun,Dinner,6,6/6/2022,157
25,3.75,Female,No,Sun,Dinner,4,6/7/2022,158
13.39,2.61,Female,No,Sun,Dinner,2,6/8/2022,159
16.49,2,Male,No,Sun,Dinner,4,6/9/2022,160
21.5,3.5,Male,No,Sun,Dinner,4,6/10/2022,161
12.66,2.5,Male,No,Sun,Dinner,2,6/11/2022,162
16.21,2,Female,No,Sun,Dinner,3,6/12/2022,163
13.81,2,Male,No,Sun,Dinner,2,6/13/2022,164
17.51,3,Female,Yes,Sun,Dinner,2,6/14/2022,165
24.52,3.48,Male,No,Sun,Dinner,3,6/15/2022,166
20.76,2.24,Male,No,Sun,Dinner,2,6/16/2022,167
31.71,4.5,Male,No,Sun,Dinner,4,6/17/2022,168
10.59,1.61,Female,Yes,Sat,Dinner,2,6/18/2022,169
10.63,2,Female,Yes,Sat,Dinner,2,6/19/2022,170
50.81,10,Male,Yes,Sat,Dinner,3,6/20/2022,171
15.81,3.16,Male,Yes,Sat,Dinner,2,6/21/2022,172
7.25,5.15,Male,Yes,Sun,Dinner,2,6/22/2022,173
31.85,3.18,Male,Yes,Sun,Dinner,2,6/23/2022,174
16.82,4,Male,Yes,Sun,Dinner,2,6/24/2022,175
32.9,3.11,Male,Yes,Sun,Dinner,2,6/25/2022,176
17.89,2,Male,Yes,Sun,Dinner,2,6/26/2022,177
14.48,2,Male,Yes,Sun,Dinner,2,6/27/2022,178
9.6,4,Female,Yes,Sun,Dinner,2,6/28/2022,179
34.63,3.55,Male,Yes,Sun,Dinner,2,6/29/2022,180
34.65,3.68,Male,Yes,Sun,Dinner,4,6/30/2022,181
23.33,5.65,Male,Yes,Sun,Dinner,2,7/1/2022,182
45.35,3.5,Male,Yes,Sun,Dinner,3,7/2/2022,183
23.17,6.5,Male,Yes,Sun,Dinner,4,7/3/2022,184
40.55,3,Male,Yes,Sun,Dinner,2,7/4/2022,185
20.69,5,Male,No,Sun,Dinner,5,7/5/2022,186
20.9,3.5,Female,Yes,Sun,Dinner,3,7/6/2022,187
30.46,2,Male,Yes,Sun,Dinner,5,7/7/2022,188
18.15,3.5,Female,Yes,Sun,Dinner,3,7/8/2022,189
23.1,4,Male,Yes,Sun,Dinner,3,7/9/2022,190
15.69,1.5,Male,Yes,Sun,Dinner,2,7/10/2022,191
19.81,4.19,Female,Yes,Thur,Lunch,2,7/11/2022,192
28.44,2.56,Male,Yes,Thur,Lunch,2,7/12/2022,193
15.48,2.02,Male,Yes,Thur,Lunch,2,7/13/2022,194
16.58,4,Male,Yes,Thur,Lunch,2,7/14/2022,195
7.56,1.44,Male,No,Thur,Lunch,2,7/15/2022,196
10.34,2,Male,Yes,Thur,Lunch,2,7/16/2022,197
43.11,5,Female,Yes,Thur,Lunch,4,7/17/2022,198
13,2,Female,Yes,Thur,Lunch,2,7/18/2022,199
13.51,2,Male,Yes,Thur,Lunch,2,7/19/2022,200
18.71,4,Male,Yes,Thur,Lunch,3,7/20/2022,201
12.74,2.01,Female,Yes,Thur,Lunch,2,7/21/2022,202
13,2,Female,Yes,Thur,Lunch,2,7/22/2022,203
16.4,2.5,Female,Yes,Thur,Lunch,2,7/23/2022,204
20.53,4,Male,Yes,Thur,Lunch,4,7/24/2022,205
16.47,3.23,Female,Yes,Thur,Lunch,3,7/25/2022,206
26.59,3.41,Male,Yes,Sat,Dinner,3,7/26/2022,207
38.73,3,Male,Yes,Sat,Dinner,4,7/27/2022,208
24.27,2.03,Male,Yes,Sat,Dinner,2,7/28/2022,209
12.76,2.23,Female,Yes,Sat,Dinner,2,7/29/2022,210
30.06,2,Male,Yes,Sat,Dinner,3,7/30/2022,211
25.89,5.16,Male,Yes,Sat,Dinner,4,7/31/2022,212
48.33,9,Male,No,Sat,Dinner,4,8/1/2022,213
13.27,2.5,Female,Yes,Sat,Dinner,2,8/2/2022,214
28.17,6.5,Female,Yes,Sat,Dinner,3,8/3/2022,215
12.9,1.1,Female,Yes,Sat,Dinner,2,8/4/2022,216
28.15,3,Male,Yes,Sat,Dinner,5,8/5/2022,217
11.59,1.5,Male,Yes,Sat,Dinner,2,8/6/2022,218
7.74,1.44,Male,Yes,Sat,Dinner,2,8/7/2022,219
30.14,3.09,Female,Yes,Sat,Dinner,4,8/8/2022,220
12.16,2.2,Male,Yes,Fri,Lunch,2,8/9/2022,221
13.42,3.48,Female,Yes,Fri,Lunch,2,8/10/2022,222
8.58,1.92,Male,Yes,Fri,Lunch,1,8/11/2022,223
15.98,3,Female,No,Fri,Lunch,3,8/12/2022,224
13.42,1.58,Male,Yes,Fri,Lunch,2,8/13/2022,225
16.27,2.5,Female,Yes,Fri,Lunch,2,8/14/2022,226
10.09,2,Female,Yes,Fri,Lunch,2,8/15/2022,227
20.45,3,Male,No,Sat,Dinner,4,8/16/2022,228
13.28,2.72,Male,No,Sat,Dinner,2,8/17/2022,229
22.12,2.88,Female,Yes,Sat,Dinner,2,8/18/2022,230
24.01,2,Male,Yes,Sat,Dinner,4,8/19/2022,231
15.69,3,Male,Yes,Sat,Dinner,3,8/20/2022,232
11.61,3.39,Male,No,Sat,Dinner,2,8/21/2022,233
10.77,1.47,Male,No,Sat,Dinner,2,8/22/2022,234
15.53,3,Male,Yes,Sat,Dinner,2,8/23/2022,235
10.07,1.25,Male,No,Sat,Dinner,2,8/24/2022,236
12.6,1,Male,Yes,Sat,Dinner,2,8/25/2022,237
32.83,1.17,Male,Yes,Sat,Dinner,2,8/26/2022,238
35.83,4.67,Female,No,Sat,Dinner,3,8/27/2022,239
29.03,5.92,Male,No,Sat,Dinner,3,8/28/2022,240
27.18,2,Female,Yes,Sat,Dinner,2,8/29/2022,241
22.67,2,Male,Yes,Sat,Dinner,2,8/30/2022,242
17.82,1.75,Male,No,Sat,Dinner,2,8/31/2022,243
18.78,3,Female,No,Thur,Dinner,2,9/1/2022,244
